Sr No,date,startup,vertical,sub vertical,city,investor,round,amount
2487,2015-05-08,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,6.4527
2489,2015-06-08,Appvigil,App security\\xc2\\xa0 testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,4.11
2490,2015-06-08,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,739.8
2493,2015-06-08,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,5.754
2494,2015-06-08,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,205.5
2496,2015-07-08,Carl\\xe2\\x80\\x99s Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,5.1786
2497,2015-07-08,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.11
2501,2015-10-08,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,4.11
2502,2015-10-08,eSadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,0.6576
2504,2015-10-08,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,2.055
2505,2015-10-08,NearBuy (previously\\xc2\\xa0 groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,131.52
2506,2015-10-08,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,2.055
2507,2015-10-08,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,8.22
2508,2015-10-08,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,246.6
2509,2015-11-08,Livspace,Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,65.76
2510,2015-11-08,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,13.152
2511,2015-11-08,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,0.822
2512,2015-11-08,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,164.4
2513,2015-11-08,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,517.86
2514,2015-12-08,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,61.65
2515,2015-12-08,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,411.0
2516,2015-12-08,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,6.3294
2517,2015-12-08,Scripbox,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,20.55
2571,2015-01-07,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,8.22
